Date ,Price ,Open ,High ,Low ,Vol. ,Change %
"Jan 02, 2008 ",269.62 ,273.13 ,273.39 ,264.77 ,934.97K ,-0.90%
"Jan 03, 2008 ",261.63 ,269.62 ,269.62 ,260.47 ,1.37M ,-2.96%
"Jan 04, 2008 ",261.87 ,258.36 ,264.64 ,255.73 ,1.52M ,0.09%
"Jan 07, 2008 ",254.38 ,258.89 ,260.47 ,253.09 ,1.17M ,-2.86%
"Jan 08, 2008 ",258.05 ,257.31 ,260.97 ,251.67 ,1.42M ,1.44%
"Jan 09, 2008 ",258.79 ,261.53 ,264.90 ,255.73 ,1.13M ,0.29%
"Jan 10, 2008 ",257.15 ,261.66 ,264.64 ,255.73 ,1.20M ,-0.63%
"Jan 11, 2008 ",257.76 ,262.32 ,262.32 ,253.09 ,1.03M ,0.24%
"Jan 14, 2008 ",243.15 ,256.78 ,256.78 ,240.52 ,4.47M ,-5.67%
"Jan 15, 2008 ",242.60 ,252.56 ,252.56 ,240.01 ,1.30M ,-0.23%
"Jan 16, 2008 ",240.59 ,242.60 ,243.60 ,233.85 ,1.44M ,-0.83%
"Jan 17, 2008 ",243.89 ,240.96 ,247.77 ,234.69 ,409.88K ,1.37%
"Jan 18, 2008 ",239.57 ,242.55 ,244.65 ,233.16 ,1.31M ,-1.77%
"Jan 21, 2008 ",231.74 ,238.85 ,241.44 ,225.83 ,1.67M ,-3.27%
"Jan 22, 2008 ",227.76 ,216.18 ,276.82 ,170.84 ,2.93M ,-1.72%
"Jan 23, 2008 ",227.47 ,229.36 ,239.33 ,210.91 ,1.52M ,-0.13%
"Jan 24, 2008 ",216.76 ,242.02 ,242.02 ,213.02 ,1.16M ,-4.71%
"Jan 25, 2008 ",227.76 ,221.53 ,232.47 ,218.82 ,775.11K ,5.07%
"Jan 28, 2008 ",215.34 ,226.73 ,229.05 ,210.30 ,971.99K ,-5.45%
"Jan 29, 2008 ",217.50 ,220.93 ,223.56 ,216.18 ,451.26K ,1.00%
"Jan 30, 2008 ",218.11 ,219.35 ,221.72 ,215.39 ,1.14M ,0.28%
"Jan 31, 2008 ",222.90 ,218.29 ,235.11 ,208.30 ,2.01M ,2.20%
"Feb 01, 2008 ",232.03 ,226.75 ,237.27 ,213.55 ,1.77M ,4.10%
